Movie title,Year released,Duration,Movie Rating,Metascore,Votes,Total gross
The Shawshank Redemption,1994,142,9.3,82,"2,799,305",$28.34M
The Godfather,1972,175,9.2,100,"1,950,311",$134.97M
The Dark Knight,2008,152,9.0,84,"2,780,565",$534.86M
Schindler's List,1993,195,9.0,95,"1,407,349",$96.90M
The Godfather Part II,1974,202,9.0,90,"1,324,610",$57.30M
The Lord of the Rings: The Return of the King,2003,201,9.0,94,"1,916,638",$377.85M
12 Angry Men,1957,96,9.0,97,"832,109",$4.36M
Pulp Fiction,1994,154,8.9,95,"2,147,175",$107.93M
Inception,2010,148,8.8,74,"2,468,415",$292.58M
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,944,833",$315.54M
Fight Club,1999,139,8.8,67,"2,233,054",$37.03M
Forrest Gump,1994,142,8.8,82,"2,178,368",$330.25M
"Il buono, il brutto, il cattivo",1966,161,8.8,90,"789,341",$6.10M
The Lord of the Rings: The Two Towers,2002,179,8.8,87,"1,729,536",$342.55M
Jai Bhim,2021,164,8.8,^^^^^^,"210,392",#219
777 Charlie,2022,164,8.8,^^^^^^,"36,672",*****
Spider-Man: Across the Spider-Verse,2023,140,8.7,86,"261,165",#19
Interstellar,2014,169,8.7,74,"1,988,912",$188.02M
Goodfellas,1990,145,8.7,92,"1,214,695",$46.84M
The Matrix,1999,136,8.7,73,"1,990,393",$171.48M
One Flew Over the Cuckoo's Nest,1975,133,8.7,84,"1,043,539",$112.00M
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,"1,341,871",$290.48M
Rocketry: The Nambi Effect,2022,157,8.7,^^^^^^,"55,377",*****
Soorarai Pottru,2020,153,8.7,^^^^^^,"120,849",*****
Oppenheimer,2023,180,8.6,88,"436,769",#43
Se7en,1995,127,8.6,65,"1,733,452",$100.13M
The Silence of the Lambs,1991,118,8.6,86,"1,493,732",$130.74M
Saving Private Ryan,1998,169,8.6,91,"1,449,921",$216.54M
The Green Mile,1999,189,8.6,61,"1,360,672",$136.80M
Star Wars,1977,121,8.6,90,"1,413,593",$322.74M
Sen to Chihiro no kamikakushi,2001,125,8.6,96,"809,721",$10.06M
Terminator 2: Judgment Day,1991,137,8.6,75,"1,141,734",$204.84M
Cidade de Deus,2002,130,8.6,79,"781,558",$7.56M
La vita è bella,1997,116,8.6,59,"722,471",$57.60M
Shichinin no samurai,1954,207,8.6,98,"357,972",$0.27M
It's a Wonderful Life,1946,130,8.6,89,"478,981",#21
Seppuku,1962,133,8.6,85,"63,723",#46
Sita Ramam,2022,163,8.6,^^^^^^,"62,930",*****
Alien,1979,117,8.5,89,"919,180",$78.90M
Gladiator,2000,155,8.5,67,"1,562,790",$187.71M
Back to the Future,1985,116,8.5,87,"1,263,363",$210.61M
The Prestige,2006,130,8.5,66,"1,396,454",$53.09M
Gisaengchung,2019,132,8.5,96,"887,946",$53.37M
The Departed,2006,151,8.5,85,"1,379,858",$132.38M
Django Unchained,2012,165,8.5,81,"1,634,768",$162.81M
Psycho,1960,109,8.5,97,"698,552",$32.00M
American History X,1998,119,8.5,62,"1,158,408",$6.72M
Whiplash,2014,106,8.5,89,"931,881",$13.09M
Léon,1994,110,8.5,64,"1,209,093",$19.50M
Rear Window,1954,112,8.5,100,"508,957",$36.76M
The Lion King,1994,88,8.5,88,"1,105,538",$422.78M
The Usual Suspects,1995,106,8.5,77,"1,118,781",$23.34M
The Pianist,2002,150,8.5,85,"877,623",$32.57M
Casablanca,1942,102,8.5,100,"591,813",$1.02M
The Intouchables,2011,112,8.5,57,"897,958",$13.18M
Hotaru no haka,1988,89,8.5,94,"295,612",#45
Once Upon a Time in the West,1968,165,8.5,82,"341,605",$5.32M
Nuovo Cinema Paradiso,1988,155,8.5,80,"273,758",$11.99M
Modern Times,1936,87,8.5,96,"252,439",$0.16M
City Lights,1931,87,8.5,99,"191,327",$0.02M
96,II 2018,158,8.5,^^^^^^,"34,135",*****
Raiders of the Lost Ark,1981,115,8.4,85,"1,013,125",$248.16M
Joker,I 2019,122,8.4,59,"1,401,410",$335.45M
The Dark Knight Rises,2012,164,8.4,78,"1,776,171",$448.14M
Oldeuboi,2003,120,8.4,78,"610,715",$0.71M
Avengers: Endgame,2019,181,8.4,78,"1,214,362",$858.37M
Spider-Man: Into the Spider-Verse,2018,117,8.4,87,"629,788",$190.24M
The Shining,1980,146,8.4,66,"1,069,378",$44.02M
